                  objname |   logd25 |  al2000*15. |     de2000 |     t |  type |     vvir |
  IC4214                  |     1.47 | 199.4276715 |  -32.10165 |   1.4 | SBa   |     2197 |
  NGC5063                 |     1.30 |  199.607184 |  -35.35255 |   1.0 | Sa    |     3059 |
  NGC5077                 |     1.42 | 199.8816915 |  -12.65640 |  -4.8 | E     |     2812 |
  ESO576-032              |     1.34 | 199.9666725 |  -22.27882 |   5.8 | Sc    |     2991 |
  ESO269-085              |     1.34 | 199.9952505 |  -47.28182 |   5.0 | Sc    |     2691 |
  NGC5087                 |     1.48 | 200.1041385 |  -20.61109 |  -2.9 | E-SO  |     1758 |
  NGC5091                 |     1.33 | 200.3228925 |  -43.71925 |   3.3 | Sb    |     3399 |
  NGC5112                 |     1.48 | 200.4851325 |   38.73463 |   5.8 | SBc   |     1185 |
  NGC5111                 |     1.42 | 200.7353925 |  -12.96475 |  -2.8 | E-SO  |     5498 |
  IC4237                  |     1.33 | 201.1364415 |  -21.13680 |   3.5 | SBb   |     2601 |
  NGC5121                 |     1.33 |  201.190152 |  -37.68214 |   0.7 | Sa    |     1336 |
  NGC5134                 |     1.43 |   201.32712 |  -21.13407 |   2.9 | SABb  |     1698 |
  UGC08441                |     1.35 |   201.37155 |   57.82150 |   9.9 | I     |     1784 |
  NGC5135                 |     1.38 |  201.433353 |  -29.83347 |   2.4 | Sab   |     4006 |
  NGC5140                 |     1.37 |  201.590526 |  -33.86852 |  -3.0 | E-SO  |     3749 |
  NGC5153                 |     1.39 | 201.9762345 |  -29.61796 |  -4.9 | E     |     4206 |
  NGC5156                 |     1.40 | 202.1837085 |  -48.91681 |   3.5 | SBb   |     2804 |
  NGC5172                 |     1.38 |   202.32975 |   17.05169 |   4.7 | SABc  |     4159 |
  NGC5174                 |     1.47 | 202.3579455 |   11.00787 |   5.8 | Sc    |     6922 |
  NGC5198                 |     1.31 |  202.547541 |   46.67081 |  -4.8 | E     |     2708 |
  NGC5182                 |     1.31 |  202.671171 |  -28.15028 |   3.9 | Sbc   |     4284 |
  NGC5193                 |     1.32 | 202.9730205 |  -33.23393 |  -4.1 | E     |     3621 |
  NGC5211                 |     1.30 | 203.2723905 |   -1.03573 |   2.2 | Sab   |     3758 |
  PGC047721               |     1.34 | 203.3080545 |  -16.12128 |   4.0 | Sbc   |     2139 |
  PGC048179               |     1.34 |  204.543102 |   -9.80192 |   8.9 | SBm   |     1303 |
  NGC5219                 |     1.35 | 204.6736185 |  -45.85598 |   3.5 | Sbc   |     2374 |
  ESO445-002              |     1.44 |  204.847734 |  -30.77421 |  -3.0 | E-SO  |     4242 |
  UGC08658                |     1.32 |  205.166115 |   54.33296 |   5.0 | Sc    |     2278 |
  NGC5264                 |     1.47 | 205.4030595 |  -29.91272 |   9.7 | IB    |      383 |
  NGC5273                 |     1.36 | 205.5351345 |   35.65444 |  -1.9 | S0    |     1292 |
  NGC5266                 |     1.47 | 205.7588175 |  -48.16934 |  -2.5 | S0    |     2831 |
  NGC5292                 |     1.36 |  206.917032 |  -30.93948 |   1.8 | Sab   |     4371 |
  NGC5300                 |     1.45 | 207.0668265 |    3.95080 |   5.2 | SABc  |     1247 |
  NGC5311                 |     1.30 |  207.233601 |   39.98522 |  -0.1 | S0-a  |     2878 |
  ESO384-002              |     1.43 |   207.82875 |  -33.80790 |   8.0 | SBd   |     1278 |
  NGC5350                 |     1.43 |  208.340052 |   40.36394 |   3.6 | Sbc   |     2545 |
  ESO510-013              |     1.33 |  208.768044 |  -26.78083 |   0.7 | Sa    |     3376 |
  UGC08839                |     1.44 | 208.8544305 |   17.79487 |   9.9 | IAB   |     1096 |
  NGC5357                 |     1.34 |  208.998042 |  -30.34142 |  -4.8 | E     |     4777 |
  NGC5378                 |     1.31 | 209.2125225 |   37.79721 |   1.0 | Sa    |     3206 |
  NGC5375                 |     1.37 |  209.233353 |   29.16450 |   2.4 | SBab  |     2565 |
  NGC5383                 |     1.39 | 209.2696275 |   41.84632 |   3.1 | Sb    |     2436 |
  UGC08892                |     1.31 |    209.4213 |   57.00100 |   9.9 | I     |     2016 |
  ESO221-020              |     1.36 |  209.596086 |  -48.47607 |  -3.1 | E-SO  |     2621 |
  PGC049877               |     1.32 |   210.17445 |  -51.03660 |  10.0 | IAB   |       -  |
  NGC5430                 |     1.34 | 210.1905735 |   59.32840 |   3.1 | SBb   |     3259 |
  ESO271-010              |     1.34 |  210.193449 |  -45.41853 |   6.3 | Sc    |     1338 |
  ESO445-089              |     1.37 | 210.2665275 |  -30.32715 |   6.7 | SBcd  |     2496 |
  NGC5444                 |     1.40 | 210.8506245 |   35.13206 |  -4.1 | E     |     4204 |
  IC0971                  |     1.35 | 210.9699495 |  -10.14062 |   5.0 | Sc    |     3326 |
  ESO510-059              |     1.36 |  211.193037 |  -24.82707 |   5.9 | SBc   |     2270 |
  NGC5474                 |     1.38 |  211.256409 |   53.66224 |   6.1 | Sc    |      518 |
  NGC5468                 |     1.36 | 211.6456245 |   -5.45300 |   6.0 | SABc  |     2876 |
  ESO384-053              |     1.34 |  211.647852 |  -34.31158 |   4.4 | SABb  |     4742 |
  ESO175-001              |     1.30 |  211.668783 |  -55.35749 |   1.8 | SABa  |     3592 |
  NGC5485                 |     1.40 |  211.797273 |   55.00162 |  -2.1 | S0    |     2171 |
  ESO446-017              |     1.35 |  211.996242 |  -32.05124 |   3.3 | SBb   |     4040 |
  PGC050444               |     1.32 | 212.0283675 |   -9.07164 |   4.0 | Sbc   |    11139 |
  IC0983                  |     1.36 |  212.518356 |   17.73372 |   4.1 | SBbc  |     5588 |
  NGC5493                 |     1.34 |  212.872416 |   -5.04364 |  -2.1 | S0    |     2732 |
  ESO221-032              |     1.36 | 213.0380175 |  -49.38949 |   4.6 | Sc    |     2735 |
  NGC5494                 |     1.37 |  213.100077 |  -30.64494 |   5.0 | Sc    |     2536 |
  ESO446-031              |     1.31 | 213.3752805 |  -29.59457 |   5.9 | SBc   |     2570 |
  NGC5532                 |     1.37 |  214.220418 |   10.80780 |  -2.0 | S0    |     7523 |
  NGC5614                 |     1.39 |  216.031842 |   34.85877 |   1.7 | Sab   |     4113 |
  NGC5660                 |     1.42 | 217.4575005 |   49.62261 |   5.2 | SABc  |     2585 |
  ESO385-032              |     1.31 |  217.549851 |  -36.96435 |   4.6 | SABc  |     2722 |
  NGC5645                 |     1.30 |  217.664241 |    7.27499 |   6.6 | SBcd  |     1468 |
  NGC5669                 |     1.41 | 218.1825405 |    9.89128 |   6.0 | SABc  |     1488 |
  NGC5713                 |     1.39 |  220.047966 |   -0.28904 |   4.0 | SABb  |     2019 |
  NGC5735                 |     1.30 | 220.6385475 |   28.72641 |   3.6 | Sbc   |     3928 |
  UGC09500                |     1.40 |  221.339166 |    7.86250 |   8.8 | Sm    |     1798 |
  NGC5757                 |     1.32 |  221.943447 |  -19.07847 |   3.1 | Sb    |     2700 |
  NGC5783                 |     1.39 | 223.3655145 |   52.07655 |   5.2 | Sc    |     2601 |
  NGC5786                 |     1.38 | 224.7345315 |  -42.01333 |   4.2 | Sbc   |     2845 |
  NGC5796                 |     1.42 |  224.850093 |  -16.62387 |  -4.7 | E     |     2899 |
  PGC053595               |     1.30 |  225.100365 |  -13.55264 |   9.0 | Sm    |     2794 |
  NGC5812                 |     1.43 | 225.2320215 |   -7.45724 |  -4.8 | E     |     1954 |
  NGC5831                 |     1.35 | 226.0289565 |    1.21994 |  -4.8 | E     |     1738 |
  NGC5874                 |     1.38 |  226.965936 |   54.75277 |   5.0 | SABc  |     3406 |
  NGC5866B                |     1.37 |  228.029811 |   55.78505 |   7.9 | SABd  |     1113 |
  NGC5898                 |     1.43 | 229.5566775 |  -24.09805 |  -4.3 | E     |     2082 |
  ESO328-043              |     1.42 | 229.8233685 |  -41.23364 |   7.6 | SBd   |     1208 |
  IC4538                  |     1.40 |  230.298321 |  -23.65837 |   5.1 | SABc  |     2818 |
  NGC5957                 |     1.39 | 233.8467255 |   12.04744 |   3.0 | Sb    |     1957 |
  NGC5938                 |     1.36 | 234.1083015 |  -66.86068 |   4.3 | SBbc  |     3280 |
  NGC5962                 |     1.40 | 234.1319925 |   16.60782 |   5.1 | Sc    |     2121 |
  NGC5970                 |     1.44 | 234.6250005 |   12.18611 |   5.0 | SBc   |     2095 |
  NGC5968                 |     1.36 |  234.988338 |  -30.55279 |   2.6 | SABb  |     5386 |
  NGC5967                 |     1.38 |  237.065952 |  -75.67280 |   5.7 | Sc    |     2665 |
  ESO137-008              |     1.30 |  243.942123 |  -60.91861 |  -3.8 | E     |     3649 |
  UGC10310                |     1.41 | 244.0759485 |   47.04565 |   9.2 | Sm    |      980 |
  NGC6106                 |     1.34 |  244.696434 |    7.41013 |   5.3 | Sc    |     1572 |
  NGC6140                 |     1.32 |  245.240757 |   65.38997 |   5.6 | Sc    |     1200 |
  NGC6217                 |     1.35 |  248.163375 |   78.19819 |   4.0 | Sbc   |     1663 |
  UGC10502                |     1.30 |  249.406875 |   72.37481 |   5.3 | Sc    |     4596 |
  ESO069-009              |     1.39 |  252.064518 |  -69.13966 |   5.0 | SBc   |     4449 |
  NGC6246A                |     1.34 | 252.5582505 |   55.38467 |   5.0 | Sc    |     5548 |
  NGC6215                 |     1.42 | 252.7792935 |  -58.99314 |   4.9 | Sc    |     1361 |
  ESO138-005              |     1.36 | 253.4724765 |  -58.77812 |  -3.0 | E-SO  |     2436 |
  NGC6209                 |     1.32 |  253.739307 |  -72.58715 |   4.0 | SABb  |     5618 |
  IC4646                  |     1.44 |  260.971635 |  -59.99944 |   4.8 | Sc    |     2970 |
  UGC10862                |     1.32 |    262.0374 |    7.42260 |   5.3 | SBc   |     1812 |
  NGC6412                 |     1.33 | 262.4063295 |   75.70432 |   5.2 | SABc  |     1616 |
  ESO009-010              |     1.40 | 264.8810835 |  -85.31042 |   4.0 | Sbc   |     2147 |
  NGC6407                 |     1.39 |   266.24025 |  -60.73978 |  -2.3 | S0    |     4390 |
  NGC6482                 |     1.31 |  267.953235 |   23.07190 |  -4.9 | E     |     4102 |
  NGC6500                 |     1.32 |  268.999056 |   18.33828 |   1.7 | Sab   |     3170 |
  NGC6492                 |     1.38 |  270.701199 |  -66.43055 |   3.9 | Sbc   |     4110 |
  NGC6548                 |     1.42 | 271.4967915 |   18.58719 |  -1.9 | S0    |     2363 |
  UGC11124                |     1.35 | 271.8646905 |   35.56396 |   6.0 | SBc   |     1841 |
