Galaxy,ID
ESO506-G028,1
GALEX2697913492638271243,1
UGC07820,2
NGC4577,1
MCG-02-32-019,1
ESO506-G029,1
CGCG014-096,1
UGC07824,1
ESO506-G032,1
RC31237.6-1102,1
MCG-01-32-035,1
ESO574-G018,1
ESO506-G036,1
UGC07840,1
CGCG014-104,1
MCG-02-32-023,1
ESO506-G037,1
ESO574-G019,1
CGCG014-106,1
MRK1332,1
ESO507-G001,1
IC0806,1
ESO507-G002,1
MCG-02-32-025,1
NGC4626,1
ESO507-G003,1
NGC4630,2
NGC4629,2
ESO507-G004,1
UGC07873,1
ESO442-G014,1
VCC1933,1
MCG-02-32-026,1
ESO507-G005,1
ESO574-G021,1
ESO574-G020,1
CGCG015-005,1
ESO574-G022,1
NGC4642,1
ESO574-G023,1
ESO574-G025,1
NGC4653,2
IC3709,1
2MFGC10032,1
ESO442-G018,1
ESO574-G027,1
CGCG015-010,1
UGC07913,1
ESO507-G006,1
ESO574-G028,1
ESO574-G029,1
NGC4668,1
MCG-01-33-002,1
ESO507-G008,1
MCG-02-33-004,1
ESO574-G030,1
NGC4674,1
MCG-02-33-006,1
IC3754,1
ESO442-G021,1
UGC07942,1
ESO574-G031,1
IC0816,1
NGC4680,1
UGC07945,1
UGC07948,1
ESO507-G009,1
ESO507-G011,1
UGC07960,1
ESO507-G012,1
UGC07963,1
ESO574-G033,1
ESO507-G013,1
MCG-02-33-010,1
MCG-01-33-008,1
ESO574-G034,1
VCC2076,1
MCG-01-33-012,1
ESO574-G036,1
DDO149,1
MCG-01-33-017,1
ESO575-G002,1
ESO507-G016,1
NGC4708,1
ESO507-G017,1
ESO507-G018,1
IC3812,1
IC3813,1
ESO507-G020,1
NGC4714,1
IC3822,1
ESO575-G003,1
NGC4718,1
NGC4717,1
MCG-01-33-022,1
IC3826,1
ESO575-G004,1
ESO507-G022,1
ESO575-G005,1
ESO575-G006,1
MCG-02-33-025,1
MCG-02-33-024,1
NGC4727,1
ESO507-G023,1
NGC4723,1
FGC1509,1
NGC4734,1
NGC4731A,1
MCG-01-33-028,1
2MASXJ12511634-1301118,1
IC3831,1
2MFGC10138,1
ESO575-G008,1
MCG-02-33-029,1
NGC4722,1
ESO442-G024,1
ESO442-G025,1
ESO575-G010,1
ESO507-G028,1
ESO575-G012,1
ESO507-G029,1
ESO507-G030,1
MCG-02-33-033,1
ESO507-G031,1
ESO575-G014,1
ESO507-G033,1
ESO507-G034,1
MRK1337,1
ESO575-G017,1
MCG-01-33-035,1
UGC08015,1
ESO507-G035,1
ESO507-G036,1
2MFGC10163,1
NGC4764,1
NGC4766,1
NGC4765,1
ESO575-G018,1
NGC4763,1
ESO575-G019,1
ESO507-G038,1
NGC4770,1
ESO507-G039,1
ESO507-G041,1
ESO507-G042,1
2MASXJ12534554-2902514,1
MCG-02-33-044,1
ESO443-G001,1
6dFJ1253494-155851,1
UGCA307,1
NGC4777,1
NGC4780,1
ESO575-G021,1
FGC177A,1
2MASXJ12541025-2909216,1
ESO575-G022,1
ESO443-G002,1
FGC1519,1
NGC4786,1
2MASXJ12543544-2904417,1
NGC4784,1
ESO575-G023,1
MCG-02-33-052,1
ESO443-G007,1
ESO575-G024,1
2MASXJ12544932-2909557,1
6dFJ1254495-160308,1
MCG-02-33-058,1
NGC4790,1
MCG-02-33-059,1
NGC4795,2
UGC08042,1
NGC4794,1
UGC08041,1
NGC4799,1
ESO507-G044,1
MCG-01-33-051,1
2MASXJ12553675-0756249,1
MCG-01-33-052,1
ESO575-G026,1
ESO575-G027,1
2MFGC10217,1
ESO575-G028,1
UGC08053,1
2MASXJ12555984-0804329,1
MCG-02-33-064,1
MCG-01-33-054,1
NGC4806,1
ESO575-G030,1
MCG-02-33-066,1
LCRSB125359.1-112544,1
NGC4813,1
IC3908,1
ESO575-G031,1
ESO443-G013,1
ESO507-G049,1
UGC08066,1
NGC4820,1
ESO575-G035,1
ESO575-G036,1
MCG-02-33-071,1
ESO507-G050,1
ESO507-G051,1
ESO443-G016,1
ESO507-G053,1
NGC4836,1
VV434,1
ESO507-G056,1
ESO507-G057,1
ESO443-G017,1
ESO575-G038,1
NGC4838,1
UGC08084,1
FGC1529,1
2MFGC10272,1
MCG-02-33-075,1
UGC08089,1
MCG-02-33-076,1
ESO575-G040,1
CGCG015-050,1
MCG-01-33-061,1
UGC08093,1
ESO507-G061,1
ESO575-G041,1
2MASXJ12590802-1054508,1
NGC4855,1
ESO443-G019,1
ESO507-G062,1
NGC4862,1
ESO443-G020,1
ESO575-G042,1
ESO507-G063,1
MCG-02-33-080,1
NGC4863,1
ESO443-G021,1
MCG-01-33-062,1
MCG-02-33-082,1
UGCA314,1
SDSSJ130017.59-030359.0,1
MCG-01-33-063,1
NGC4878,1
ESO575-G045,1
ESO575-G046,1
NGC4900,2
2MASXJ13004876-1200252,1
UGC08127,1
ESO575-G047,1
2MFGC10335,1
ESO575-G048,1
DDO160,1
UGC08138,1
ESO507-G067,1
VV283,1
ESO575-G049,1
MCG-01-33-072,1
2MFGC10343,1
MCG-02-33-095,1
MCG-02-33-093,1
NGC4920,1
ESO443-G035,1
ESO507-G068,1
UGCA319,1
MCG-02-33-097,1
MCG-02-33-098,1
MCG-02-33-100,1
ESO575-G050,1
ESO507-G069,1
NGC4928,1
UGC08153,1
ESO575-G051,1
ESO507-G072,1
UGC08156,1
ESO575-G052,1
MCG-01-33-076,1
2MFGC10379,1
NGC4933B,1
UGC08165,1
ESO443-G044,1
2MFGC10387,1
UGC08170,1
ESO443-G046,1
NGC4942,1
ESO443-G051,1
2dFGRSN192Z044,1
ESO508-G001,1
UGC08173,1
NGC4948,1
ESO575-G053,1
NGC4948A,1
ESO443-G057,1
DDO163,1
UGC08176,1
2MASXJ13051611-1726463,1
ESO443-G059,1
ESO443-G060,1
ESO443-G061,1
MCG-01-33-085,1
ESO443-G066,1
ESO575-G054,1
ESO508-G003,1
ESO443-G068,1
ESO508-G004,1
UGCA324,1
UGCA325,1
ESO575-G058,1
IC0849,1
IC0850,1
UGC08208,1
ESO575-G060,1
ESO575-G061,1
ESO508-G014,1
ESO575-G062,1
CGCG016-008,1
ESO575-G063,1
ESO443-G074,1
NGC4980,1
NGC4989,1
ESO508-G016,1
2MFGC10474,1
ESO575-G064,1
NGC4996,1
ESO575-G066,1
ESO508-G017,1
UGC08238,1
MCG-03-34-004,1
LCSBS1839P,1
ESO508-G019,1
ESO508-G020,1
ESO508-G021,1
CGCG016-015,1
IC4209,1
ESO443-G079,1
ESO576-G001,1
MCG-03-34-008,1
MCG-01-34-010,1
ESO508-G023,1
ESO576-G003,1
UGCA331,1
ESO443-G080,1
ESO576-G005,1
UGC08263,1
UGC08262,1
UGC08265,1
NGC5006,1
ESO576-G007,1
UGCA332,1
UGC08275,1
ESO443-G081,1
ESO576-G008,1
NGC5015,1
NGC5010,1
UGC08285,1
NGC5019,1
ESO508-G026,1
MCG-03-34-019,1
UGC08296,1
ESO576-G012,1
MCG-03-34-022,1
UGCA338,1
ESO508-G027,1
NGC5030,1
NGC5031,1
ESO576-G015,1
MCG-01-34-013,1
ESO508-G028,1
ESO576-G016,1
NGC5035,1
UGCA339NOTES01,1
UGC08324,1
ESO576-G017,1
NGC5050,1
ESO508-G032,1
NGC5051,1
ESO576-G019,1
ESO444-G002,1
ESO444-G003,1
ESO576-G022,1
ESO508-G034,1
NGC5059,1
IC0872,1
IC4216,1
IC0863,1
NGC5060,1
MCG-02-34-015,1
ESO508-G035,1
ESO508-G036,1
IC0871,1
UGC08360,1
UGC08361,1
ESO508-G039,1
IC4221,1
IC0876,1
ESO576-G026,1
DDO171,1
ESO576-G027,1
ESO576-G028,1
FGC1592,1
SGC1316.2-1722,1
ESO508-G043,1
MCG-02-34-024,1
ESO508-G044,1
ESO508-IG045,1
NGC5079,1
IC0879,1
UGCA348,1
SGC1317.2-1702,1
VV802,1
ESO508-G049,1
MCG-03-34-051,1
UGC08379,1
ESO576-G036,1
ESO576-G037,1
