#   Program Filename    Redshift    Galaxy  Type    Sigma   Priority    Run_Id
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC191801.fits    0.0500  PGC191801a  S0-a    0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC191813.fits    0.0565  PGC191813a  S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC191829.fits    0.0610  PGC191829a  S0-a    0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1069382.fits   0.0500  PGC1069382a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1224771.fits   0.0500  PGC1224771a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC191857.fits    0.0918  PGC191857a  Sab 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC191860.fits    0.0579  PGC191860a  Unk 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1071858.fits   0.0500  PGC1071858a Unk 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1071910.fits   0.0500  PGC1071910a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC191900.fits    0.0571  PGC191900a  Sab 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC191903.fits    0.0561  PGC191903a  S0-a    0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC191908.fits    0.0556  PGC191908a  Sab 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_2MASXJ22183385-0041169.fits   0.1142  2MASXJ22183385-0041169a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC068549.fits    0.0166  PGC068549a  SABc    0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1078788.fits   0.0892  PGC1078788a Sab 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_UGC11982.fits 0.0164  UGC11982a   SBc 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1076406.fits   0.0563  PGC1076406a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1070276.fits   0.0500  PGC1070276a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1070345.fits   0.0500  PGC1070345a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1070754.fits   0.0878  PGC1070754a S0-a    0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1225555.fits   0.0500  PGC1225555a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1070711.fits   0.0500  PGC1070711a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC068568.fits    0.0500  PGC068568a  S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1074282.fits   0.0500  PGC1074282a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1069369.fits   0.0500  PGC1069369a Unk 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1070267.fits   0.0617  PGC1070267a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1207487.fits   0.0500  PGC1207487a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1077467.fits   0.0908  PGC1077467a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1074663.fits   0.0560  PGC1074663a Sab 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC068590.fits    0.0567  PGC068590a  Sb  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1244747.fits   0.0500  PGC1244747a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1098852.fits   0.0421  PGC1098852a Sab 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1163530.fits   0.0612  PGC1163530a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1125220.fits   0.0377  PGC1125220a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1083253.fits   0.0565  PGC1083253a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1181410.fits   0.0570  PGC1181410a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1071526.fits   0.0553  PGC1071526a S0-a    0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1072169.fits   0.0500  PGC1072169a Unk 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1197947.fits   0.0500  PGC1197947a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1240632.fits   0.0500  PGC1240632a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1230366.fits   0.0500  PGC1230366a E?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1125126.fits   0.1006  PGC1125126a E?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1241148.fits   0.0394  PGC1241148a Sb  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1235956.fits   0.0319  PGC1235956a Sb  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_UGC12000.fits 0.0320  UGC12000a   Sc  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC068677.fits    0.0323  PGC068677a  Sb  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1093512.fits   0.0567  PGC1093512a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1078021.fits   0.0500  PGC1078021a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1077709.fits   0.0551  PGC1077709a S0-a    0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1068443.fits   0.0102  PGC1068443a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1198066.fits   0.0500  PGC1198066a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1238991.fits   0.0500  PGC1238991a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1094417.fits   0.0563  PGC1094417a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1084588.fits   0.0500  PGC1084588a S0-a    0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC095688.fits    0.0894  PGC095688a  S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC192076.fits    0.0633  PGC192076a  S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC192092.fits    0.0500  PGC192092a  S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC192093.fits    0.0514  PGC192093a  Sab 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC095698.fits    0.0899  PGC095698a  S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC192109.fits    0.0581  PGC192109a  S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC068767.fits    0.0585  PGC068767a  Sbc 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC095707.fits    0.0932  PGC095707a  S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC192122.fits    0.0582  PGC192122a  Sab 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1233948.fits   0.0500  PGC1233948a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1229356.fits   0.0500  PGC1229356a Unk 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1072419.fits   0.0500  PGC1072419a Unk 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC095711.fits    0.0908  PGC095711a  S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1100060.fits   0.0500  PGC1100060a Unk 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1106727.fits   0.0574  PGC1106727a S0-a    0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1076380.fits   0.0500  PGC1076380a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1246259.fits   0.0500  PGC1246259a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1101543.fits   0.0410  PGC1101543a E?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1088988.fits   0.0556  PGC1088988a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_SDSSJ222516.58-005435.9.fits  0.0159  SDSSJ222516.58-005435.9a    Unk 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1131621.fits   0.0163  PGC1131621a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1067527.fits   0.0500  PGC1067527a Unk 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1247588.fits   0.0500  PGC1247588a Unk 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC096867.fits    0.0500  PGC096867a  Unk 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1156950.fits   0.0580  PGC1156950a E?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC096875.fits    0.0544  PGC096875a  S0-a    0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC068840.fits    0.0346  PGC068840a  S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1100345.fits   0.0572  PGC1100345a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1106821.fits   0.0564  PGC1106821a E?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1252639.fits   0.0500  PGC1252639a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1098021.fits   0.0567  PGC1098021a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1093467.fits   0.0500  PGC1093467a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1098097.fits   0.0563  PGC1098097a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1169469.fits   0.0679  PGC1169469a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC068855.fits    0.0577  PGC068855a  S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1064891.fits   0.0500  PGC1064891a S?  0.1 0   1
