#   Program Filename    Redshift    Galaxy  Type    Sigma   Priority
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC5112.fits   0.0040  NGC5112a  SBc    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC5172.fits   0.0139  NGC5172a  SABc   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC5174.fits   0.0231  NGC5174a  Sc     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC5198.fits   0.0090  NGC5198a  E      0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC5273.fits   0.0043  NGC5273a  S0     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC5300.fits   0.0042  NGC5300a  SABc   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC5311.fits   0.0096  NGC5311a  S0-a   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC5350.fits   0.0085  NGC5350a  Sbc    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC5375.fits   0.0086  NGC5375a  SBab   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC5378.fits   0.0107  NGC5378a  Sa     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC5383.fits   0.0081  NGC5383a  Sb     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC5430.fits   0.0109  NGC5430a  SBb    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC5444.fits   0.0140  NGC5444a  E      0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC5474.fits   0.0017  NGC5474a  Sc     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC5485.fits   0.0072  NGC5485a  S0     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC5532.fits   0.0251  NGC5532a  S0     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC5614.fits   0.0137  NGC5614a  Sab    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC5645.fits   0.0049  NGC5645a  SBcd   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC5660.fits   0.0086  NGC5660a  SABc   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC5669.fits   0.0050  NGC5669a  SABc   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC5713.fits   0.0067  NGC5713a  SABb   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC5735.fits   0.0131  NGC5735a  Sbc    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC5783.fits   0.0087  NGC5783a  Sc     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC5831.fits   0.0058  NGC5831a  E      0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC5866B.fits  0.0037  NGC5866Ba     SABd   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC5874.fits   0.0114  NGC5874a  SABc   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC5957.fits   0.0065  NGC5957a  Sb     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC5962.fits   0.0071  NGC5962a  Sc     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC5970.fits   0.0070  NGC5970a  SBc    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC6106.fits   0.0052  NGC6106a  Sc     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC6217.fits   0.0055  NGC6217a  Sbc    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC6962.fits   0.0142  NGC6962a  SABa   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC7025.fits   0.0170  NGC7025a  Sa     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC7177.fits   0.0042  NGC7177a  SABb   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC7280.fits   0.0065  NGC7280a  S0-a   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC7318B.fits  0.0198  NGC7318Ba     SBbc   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC7585.fits   0.0114  NGC7585a  S0-a   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC7619.fits   0.0127  NGC7619a  E      0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC7626.fits   0.0115  NGC7626a  E      0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC7714.fits   0.0093  NGC7714a  Sb     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC7722.fits   0.0136  NGC7722a  S0-a   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC7782.fits   0.0180  NGC7782a  Sb     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_PGC006667.fits 0.0063  PGC006667a    Scd    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_PGC042868.fits 0.0048  PGC042868a    SABd   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_PGC043020.fits 0.0049  PGC043020a    SABm   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_PGC069293.fits 0.0056  PGC069293a    Sm     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_UGC00017.fits  0.0031  UGC00017a     Sm     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_UGC00655.fits  0.0033  UGC00655a     Sm     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_UGC01547.fits  0.0090  UGC01547a     I      0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_UGC01551.fits  0.0091  UGC01551a     SBc    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_UGC02345.fits  0.0048  UGC02345a     Sm     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_UGC02435.fits  0.0165  UGC02435a     SABc   0.05    0
