                  objname |  al2000*15. |     de2000 |     vvir |     6.*10^logd25 |   incl |  type |
  NGC0097                 |    5.624916 |   29.74536 |     4880 | 79.2777474519079 |   40.2 | E     |
  ESO194-013              |    5.658639 |  -48.58113 |     2971 | 76.2344414577833 |   36.9 | SABc  |
  NGC0098                 |    5.706264 |  -45.26896 |     5948 | 97.0848003398731 |   33.1 | SBbc  |
  IC1549                  |    5.707791 |    6.96431 |    12146 | 87.1266851932436 |    0.0 | S0-a  |
  PGC001481               |    5.756316 |  -56.83472 |     9980 | 76.2344414577833 |   48.9 | E-SO  |
  ESO111-026              |   5.7962265 |  -59.61757 |     8702 | 61.3975781886058 |   52.8 | Sc    |
  UGC00223                |    5.815128 |   20.26597 |     5792 | 80.0112859297994 |    0.0 | I     |
  NGC0101                 |    5.977629 |  -32.53626 |     3206 | 115.651485902822 |   19.3 | SABc  |
  NGC0099                 |    5.997564 |   15.77040 |     5361 | 62.8277101237661 |   33.7 | Sc    |
  ESO194-015              |   6.1178685 |  -50.68498 |     7166 | 63.4090576541091 |   24.3 | Sbc   |
  UGC00232                |     6.16125 |   33.25614 |     4975 | 63.5552200215887 |   54.7 | Sa    |
  PGC001547               |   6.1810005 |   -6.02286 |     8120 |  70.008582096846 |   51.3 | Sbc   |
  UGC00240                |    6.292167 |    6.49086 |     8660 |  62.251709596865 |   57.6 | SABb  |
  UGC00242                |    6.369666 |   20.23772 |     4469 | 77.8307625827011 |   43.0 | Sc    |
  NGC0108                 |   6.4989795 |   29.21186 |     4881 | 101.193181078901 |   55.0 | S0-a  |
  NGC0109                 |    6.560958 |   21.80739 |     5644 | 62.8277101237661 |   40.7 | Sa    |
  NGC0113                 |    6.727602 |   -2.50087 |     4312 | 73.6463516054073 |   43.5 | E-SO  |
  PGC100430               |   6.7324455 |  -48.79166 |    21444 | 62.8277101237661 |   59.5 | S0-a  |
  NGC0119                 |   6.7399725 |  -56.97803 |     7195 | 71.9699575568027 |   25.0 | E-SO  |
  PGC001683               |   6.8334165 |   -4.89131 |     6070 | 60.5551659840007 |   49.4 | Sbc   |
  NGC0124                 |    6.968265 |   -1.81029 |     4003 | 75.8841805149985 |   57.1 | Sc    |
  UGC00283                |      7.0905 |    3.38969 |     4069 | 69.6869260120192 |   46.9 | Sc    |
  PGC2745547              |   7.1031915 |   71.77106 |       -  | 80.9377720668364 |   30.0 |       |
  UGC00284                |   7.1432085 |   33.27225 |     4862 | 61.9656926460431 |   45.5 | Sc    |
  ESO112-005              |    7.176462 |  -59.94346 |     4423 | 74.3278044952267 |   45.4 | SBc   |
  ESO350-020              |    7.190541 |  -32.40656 |    13593 | 63.7017367891317 |   29.0 | SBbc  |
  NGC0125                 |   7.2091665 |    2.83889 |     5286 | 83.7820979837867 |   32.8 | S0-a  |
  PGC001779               |     7.26633 |  -30.84007 |     7085 |  66.092366990216 |   37.7 | S0    |
  ESO194-021              |   7.4237295 |  -51.52067 |     3199 | 71.1461250462605 |   38.1 | E-SO  |
  UGC00300                |   7.5174495 |    3.51291 |     1333 | 63.4090576541091 |   24.0 | IAB   |
  ESO350-022              |   7.5337995 |  -36.88011 |     7276 | 68.8892082133164 |   59.1 | Sc    |
  NGC0132                 |   7.5448215 |    2.09364 |     5342 | 96.1947329470031 |   49.1 | SABb  |
  UGC00305                |    7.642542 |   13.36631 |    10012 | 77.4731460392143 |   31.4 | Sc    |
  UGC00304                |   7.6631535 |   12.68036 |     9487 | 63.8485738027402 |   57.8 | S0-a  |
  NGC0137                 |   7.7420835 |   10.20844 |     5297 | 83.0139889362268 |    0.0 | S0    |
  ESO194-024              |   7.8550125 |  -49.58986 |     6318 |  66.397431558559 |   55.4 | Scd   |
  UGC00313                |    7.858833 |    6.20675 |     2085 | 72.1358732052396 |   55.9 | Sbc   |
  PGC001929               |   7.8812865 |   -6.10583 |     5149 |  61.823168855599 |   44.2 | Sc    |
  ESO028-023              |     7.92405 |  -73.79700 |       -  | 79.6436721858368 |   36.9 |       |
  NGC0145                 |   7.9406235 |   -5.15271 |     4082 | 105.718575320751 |   40.1 | Sd    |
  ESO294-020              |   8.0393685 |  -40.26710 |     1212 | 104.028230956194 |   43.6 | SBd   |
  ESO294-022              |    8.097948 |  -42.17342 |     9624 | 62.8277101237661 |   38.4 | Sb    |
  PGC169991               |   8.1657735 |   -2.91576 |     5573 | 62.9725497293302 |   39.2 | E     |
  UGC00334                |    8.478333 |   31.45000 |     4750 | 103.788989985647 |   10.8 | SBm   |
  UGC00336                |    8.531916 |   44.14542 |     5821 |  61.823168855599 |   38.1 | Scd   |
  ESO410-018              |    8.546205 |  -30.77392 |     1412 | 93.5731413340291 |   32.3 | SABm  |
  ESO540-001              |    8.557107 |  -21.43891 |     7913 | 76.2344414577833 |   33.0 | SBc   |
  NGC0154                 |   8.5811445 |  -12.65620 |     7936 | 60.6947665891908 |   39.0 | E     |
  ESO242-014              |    8.635875 |  -43.65617 |     5724 | 89.5676696885003 |   56.2 | S0    |
  UGC00342                |    8.636166 |    3.60225 |     6414 | 61.3975781886058 |   55.5 | SABc  |
  NGC0155                 |    8.667099 |  -10.76651 |     6126 | 89.5676696885003 |   34.6 | S0    |
  PGC002077               |    8.670375 |   -7.90286 |     5302 | 60.1383207555508 |   40.1 | Sc    |
  PGC002092               |    8.728227 |  -12.49839 |     7922 | 70.6563551529841 |   38.3 | SABc  |
  ESO294-023              |   8.8047075 |  -37.55798 |     7044 | 66.7039042228002 |   31.8 | S0-a  |
  ESO150-013              |   8.8604565 |  -55.52162 |     8079 | 61.3975781886058 |   32.7 | SABa  |
  NGC0163                 |   8.9993325 |  -10.12173 |     5898 | 85.5364642563528 |   29.5 | E     |
  PGC002151               |   9.0082815 |   -9.88849 |     4850 | 68.8892082133164 |   45.4 | SBc   |
